Macanudo 1968 Robusto                                                   ,20     ,8.80   ,176.00€ ,dominican-cigars        ,full-boxes                ,macanudo-1
Macanudo 1968 Rothschild                                                ,20     ,7.90   ,158.00€ ,dominican-cigars        ,full-boxes                ,macanudo-1
Macanudo 1968 Titan                                                     ,20     ,9.10   ,182.00€ ,dominican-cigars        ,full-boxes                ,macanudo-1
Corazon Short Piramides                                                 ,24     ,4.00   ,96.00€  ,dominican-cigars        ,full-boxes                ,
Corazon Short Robusto                                                   ,24     ,3.80   ,91.20€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Short Robusto                                          ,4      ,2.50   ,10.00€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Churchill                                              ,4      ,3.00   ,12.00€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Lonsdale                                               ,4      ,2.62   ,10.50€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Corona                                                 ,4      ,2.37   ,9.50€   ,dominican-cigars        ,full-boxes                ,
Bundle Selection Short Robusto                                          ,4      ,2.50   ,10.00€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Corona                                                 ,4      ,2.37   ,9.50€   ,dominican-cigars        ,full-boxes                ,
Bundle Selection Robusto                                                ,4      ,2.80   ,11.20€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Lonsdale                                               ,4      ,2.62   ,10.50€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Robusto                                                ,4      ,2.80   ,11.20€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Petit Panetela                                         ,4      ,2.00   ,8.00€   ,dominican-cigars        ,full-boxes                ,
Bundle Selection Petit Panetela                                         ,4      ,2.00   ,8.00€   ,dominican-cigars        ,full-boxes                ,
Bundle Selection Cusano Petit Corona                                    ,4      ,2.12   ,8.50€   ,dominican-cigars        ,full-boxes                ,
Bundle Selection Cusano Petit Corona                                    ,4      ,2.12   ,8.50€   ,dominican-cigars        ,full-boxes                ,
Bundle Selection Figurado                                               ,4      ,2.43   ,9.75€   ,dominican-cigars        ,full-boxes                ,
Bundle Selection Figurado                                               ,4      ,2.43   ,9.75€   ,dominican-cigars        ,full-boxes                ,
Bundle Selection Cusano Gordo ND                                        ,4      ,3.50   ,14.00€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Cusano Gordo ND                                        ,4      ,3.50   ,14.00€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Corona Extra                                           ,4      ,2.70   ,10.80€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Corona Extra                                           ,4      ,2.70   ,10.80€  ,dominican-cigars        ,full-boxes                ,
Bundle Selection Churchill                                              ,4      ,3.00   ,12.00€  ,dominican-cigars        ,full-boxes                ,
Private Stock N°5 A.T.                                                  ,20     ,5.90   ,118.00€ ,dominican-cigars        ,full-boxes                ,
Griffin's 300                                                           ,25     ,8.60   ,215.00€ ,dominican-cigars        ,full-boxes                ,
Griffin's 500                                                           ,25     ,7.50   ,187.50€ ,dominican-cigars        ,full-boxes                ,
Griffin's Robusto                                                       ,25     ,8.90   ,222.50€ ,dominican-cigars        ,full-boxes                ,
Zino Classic N°8 A.T.                                                   ,10     ,11.20  ,112.00€ ,dominican-cigars        ,full-boxes                ,
Zino Platinum Z-Class Robusto                                           ,20     ,9.50   ,190.00€ ,dominican-cigars        ,full-boxes                ,
Zino Platinum Z-Class Toro                                              ,20     ,10.50  ,210.00€ ,dominican-cigars        ,full-boxes                ,
